BuildingID,param_name,assigned_value,min_value,max_value
4136730,occupant_density_m2_per_person,30,27,33
4136730,liters_per_person_per_day,45,55,65
4136730,default_tank_volume_liters,277.5029318369119,250,350
4136730,default_heater_capacity_w,4223.210738148823,4000,5000
4136730,setpoint_c,59.472942428328025,58,60
4136730,usage_split_factor,0.6353398974845822,0.5,0.7
4136730,peak_hours,2.8921795677048454,2,3
4136730,sched_morning,0.6173877665258832,0.6,0.8
4136730,sched_peak,0.9843843639370542,0.9,1.1
4136730,sched_afternoon,0.20297972194380703,0.2,0.3
4136730,sched_evening,0.6874551899214414,0.6,1
4136730,epw_file_path,C:/Users/aminj/OneDrive/Desktop/EnergyPlus/Weather/2020.epw,,
4136730,fenez_top_opq.obj_type,MATERIAL:NOMASS,,
4136730,fenez_top_opq.Name,Insulated_Roof_R5,,
4136730,fenez_top_opq.Roughness,MediumRough,,
4136730,fenez_top_opq.Thermal_Resistance,4.639426798457884,,
4136730,fenez_top_opq.Thermal_Absorptance,0.9,,
4136730,fenez_top_opq.Solar_Absorptance,0.7,,
4136730,fenez_top_opq.Visible_Absorptance,0.7,,
4136730,fenez_top_win.obj_type,WINDOWMATERIAL:GLAZING,,
4136730,fenez_top_win.Name,Glazing_Clear_3mm,,
4136730,fenez_top_win.Optical_Data_Type,SpectralAverage,,
4136730,fenez_top_win.IR_Transmittance,0,,
4136730,fenez_top_win.Solar_Diffusing,No,,
4136730,fenez_top_win.Thickness,0.003,,
4136730,fenez_top_win.Solar_Transmittance,0.7605002151044533,,
4136730,fenez_top_win.Front_Solar_Reflectance,0.072750293,,
4136730,fenez_top_win.Back_Solar_Reflectance,0.072232107,,
4136730,fenez_top_win.Visible_Transmittance,0.8747294242832803,,
4136730,fenez_top_win.Front_Visible_Reflectance,0.066766995,,
4136730,fenez_top_win.Back_Visible_Reflectance,0.068921796,,
4136730,fenez_top_win.Front_IR_Emissivity,0.84,,
4136730,fenez_top_win.Back_IR_Emissivity,0.84,,
4136730,fenez_top_win.Conductivity,0.9586938832629416,,
4136730,fenez_top_win.Dirt_Correction_Factor,1,,
4136730,fenez_ground_floor_opq.obj_type,MATERIAL,,
4136730,fenez_ground_floor_opq.Name,DoorPanel_Range,,
4136730,fenez_ground_floor_opq.Roughness,MediumRough,,
4136730,fenez_ground_floor_opq.Thickness,0.18641140016537977,,
4136730,fenez_ground_floor_opq.Conductivity,0.07456456,,
4136730,fenez_ground_floor_opq.Density,621.8637974803603,,
4136730,fenez_ground_floor_opq.Specific_Heat,2301.0710576206725,,
4136730,fenez_ground_floor_opq.Thermal_Absorptance,0.9,,
4136730,fenez_ground_floor_opq.Solar_Absorptance,0.7,,
4136730,fenez_ground_floor_opq.Visible_Absorptance,0.7,,
4136730,fenez_ground_floor_win.obj_type,WINDOWMATERIAL:GLAZING,,
4136730,fenez_ground_floor_win.Name,Glazing_Clear_3mm,,
4136730,fenez_ground_floor_win.Optical_Data_Type,SpectralAverage,,
4136730,fenez_ground_floor_win.IR_Transmittance,0,,
4136730,fenez_ground_floor_win.Solar_Diffusing,No,,
4136730,fenez_ground_floor_win.Thickness,0.003,,
4136730,fenez_ground_floor_win.Solar_Transmittance,0.7605307193936773,,
4136730,fenez_ground_floor_win.Front_Solar_Reflectance,0.071988377,,
4136730,fenez_ground_floor_win.Back_Solar_Reflectance,0.076498844,,
4136730,fenez_ground_floor_win.Visible_Transmittance,0.8708988296120643,,
4136730,fenez_ground_floor_win.Front_Visible_Reflectance,0.062204406,,
4136730,fenez_ground_floor_win.Back_Visible_Reflectance,0.065892657,,
